station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
14171000	11-10-1986		Missing			09-07-2017 18:47
14171000	11-11-1986		Missing			09-07-2017 18:47
14171000	11-12-1986		Missing			09-07-2017 18:47
14171000	11-13-1986		Missing			09-07-2017 18:47
14171000	11-14-1986		Missing			09-07-2017 18:47
14171000	11-15-1986		Missing			09-07-2017 18:47
14171000	11-16-1986		Missing			09-07-2017 18:47
14171000	11-17-1986		Missing			09-07-2017 18:47
14171000	11-18-1986		Missing			09-07-2017 18:47
14171000	11-19-1986		Missing			09-07-2017 18:47
14171000	11-20-1986		Missing			09-07-2017 18:47
14171000	11-21-1986		Missing			09-07-2017 18:47
14171000	11-22-1986		Missing			09-07-2017 18:47
14171000	11-23-1986		Missing			09-07-2017 18:47
14171000	11-24-1986		Missing			09-07-2017 18:47
14171000	11-25-1986		Missing			09-07-2017 18:47
14171000	11-26-1986		Missing			09-07-2017 18:47
14171000	11-27-1986		Missing			09-07-2017 18:47
14171000	11-28-1986		Missing			09-07-2017 18:47
14171000	11-29-1986		Missing			09-07-2017 18:47
14171000	11-30-1986		Missing			09-07-2017 18:47
14171000	12-01-1986		Missing			09-07-2017 18:47
14171000	12-02-1986		Missing			09-07-2017 18:47
14171000	12-03-1986		Missing			09-07-2017 18:47
14171000	12-04-1986		Missing			09-07-2017 18:47
14171000	12-05-1986		Missing			09-07-2017 18:47
14171000	12-06-1986		Missing			09-07-2017 18:47
14171000	12-07-1986		Missing			09-07-2017 18:47
14171000	12-08-1986		Missing			09-07-2017 18:47
14171000	12-09-1986		Missing			09-07-2017 18:47
14171000	12-10-1986		Missing			09-07-2017 18:47
14171000	12-11-1986		Missing			09-07-2017 18:47
14171000	12-12-1986		Missing			09-07-2017 18:47
14171000	12-13-1986		Missing			09-07-2017 18:47
14171000	12-14-1986		Missing			09-07-2017 18:47
14171000	12-15-1986		Missing			09-07-2017 18:47
14171000	12-16-1986		Missing			09-07-2017 18:47
14171000	12-17-1986		Missing			09-07-2017 18:47
14171000	12-18-1986		Missing			09-07-2017 18:47
14171000	12-19-1986		Missing			09-07-2017 18:47
14171000	12-20-1986		Missing			09-07-2017 18:47
14171000	12-21-1986		Missing			09-07-2017 18:47
14171000	12-22-1986		Missing			09-07-2017 18:47
14171000	12-23-1986		Missing			09-07-2017 18:47
14171000	12-24-1986		Missing			09-07-2017 18:47
14171000	12-25-1986		Missing			09-07-2017 18:47
14171000	12-26-1986		Missing			09-07-2017 18:47
14171000	12-27-1986		Missing			09-07-2017 18:47
14171000	12-28-1986		Missing			09-07-2017 18:47
14171000	12-29-1986		Missing			09-07-2017 18:47
14171000	12-30-1986		Missing			09-07-2017 18:47
14171000	12-31-1986		Missing			09-07-2017 18:47
14171000	01-01-1987		Missing			09-07-2017 18:47
14171000	01-02-1987		Missing			09-07-2017 18:47
14171000	01-03-1987		Missing			09-07-2017 18:47
14171000	01-04-1987		Missing			09-07-2017 18:47
14171000	01-05-1987		Missing			09-07-2017 18:47
14171000	01-06-1987		Missing			09-07-2017 18:47
14171000	01-07-1987		Missing			09-07-2017 18:47
14171000	01-08-1987		Missing			09-07-2017 18:47
14171000	01-09-1987		Missing			09-07-2017 18:47
14171000	01-10-1987		Missing			09-07-2017 18:47
14171000	01-11-1987		Missing			09-07-2017 18:47
14171000	01-12-1987		Missing			09-07-2017 18:47
14171000	01-13-1987		Missing			09-07-2017 18:47
14171000	01-14-1987		Missing			09-07-2017 18:47
14171000	01-15-1987		Missing			09-07-2017 18:47
14171000	01-16-1987		Missing			09-07-2017 18:47
14171000	01-17-1987		Missing			09-07-2017 18:47
14171000	01-18-1987		Missing			09-07-2017 18:47
14171000	01-19-1987		Missing			09-07-2017 18:47
14171000	01-20-1987		Missing			09-07-2017 18:47
14171000	01-21-1987		Missing			09-07-2017 18:47
14171000	01-22-1987		Missing			09-07-2017 18:47
14171000	01-23-1987		Missing			09-07-2017 18:47
14171000	01-24-1987		Missing			09-07-2017 18:47
14171000	01-25-1987		Missing			09-07-2017 18:47
14171000	01-26-1987		Missing			09-07-2017 18:47
14171000	01-27-1987		Missing			09-07-2017 18:47
14171000	01-28-1987		Missing			09-07-2017 18:47
14171000	01-29-1987		Missing			09-07-2017 18:47
14171000	01-30-1987		Missing			09-07-2017 18:47
14171000	01-31-1987		Missing			09-07-2017 18:47
14171000	02-01-1987		Missing			09-07-2017 18:47
14171000	02-02-1987		Missing			09-07-2017 18:47
14171000	02-03-1987		Missing			09-07-2017 18:47
14171000	02-04-1987		Missing			09-07-2017 18:47
14171000	02-05-1987		Missing			09-07-2017 18:47
14171000	02-06-1987		Missing			09-07-2017 18:47
14171000	02-07-1987		Missing			09-07-2017 18:47
14171000	02-08-1987		Missing			09-07-2017 18:47
14171000	02-09-1987		Missing			09-07-2017 18:47
14171000	02-10-1987		Missing			09-07-2017 18:47
14171000	02-11-1987		Missing			09-07-2017 18:47
14171000	02-12-1987		Missing			09-07-2017 18:47
14171000	02-13-1987		Missing			09-07-2017 18:47
14171000	02-14-1987		Missing			09-07-2017 18:47
14171000	02-15-1987		Missing			09-07-2017 18:47
14171000	02-16-1987		Missing			09-07-2017 18:47
14171000	02-17-1987		Missing			09-07-2017 18:47
14171000	02-18-1987		Missing			09-07-2017 18:47
14171000	02-19-1987		Missing			09-07-2017 18:47
14171000	02-20-1987		Missing			09-07-2017 18:47
14171000	02-21-1987		Missing			09-07-2017 18:47
14171000	02-22-1987		Missing			09-07-2017 18:47
14171000	02-23-1987		Missing			09-07-2017 18:47
14171000	02-24-1987		Missing			09-07-2017 18:47
14171000	02-25-1987		Missing			09-07-2017 18:47
14171000	02-26-1987		Missing			09-07-2017 18:47
14171000	02-27-1987		Missing			09-07-2017 18:47
14171000	02-28-1987		Missing			09-07-2017 18:47
14171000	03-01-1987		Missing			09-07-2017 18:47
14171000	03-02-1987		Missing			09-07-2017 18:47
14171000	03-03-1987		Missing			09-07-2017 18:47
14171000	03-04-1987		Missing			09-07-2017 18:47
14171000	03-05-1987		Missing			09-07-2017 18:47
14171000	03-06-1987		Missing			09-07-2017 18:47
14171000	03-07-1987		Missing			09-07-2017 18:47
14171000	03-08-1987		Missing			09-07-2017 18:47
14171000	03-09-1987		Missing			09-07-2017 18:47
14171000	03-10-1987		Missing			09-07-2017 18:47
14171000	03-11-1987		Missing			09-07-2017 18:47
14171000	03-12-1987		Missing			09-07-2017 18:47
14171000	03-13-1987		Missing			09-07-2017 18:47
14171000	03-14-1987		Missing			09-07-2017 18:47
14171000	03-15-1987		Missing			09-07-2017 18:47
14171000	03-16-1987		Missing			09-07-2017 18:47
14171000	03-17-1987		Missing			09-07-2017 18:47
14171000	03-18-1987		Missing			09-07-2017 18:47
14171000	03-19-1987		Missing			09-07-2017 18:47
14171000	03-20-1987		Missing			09-07-2017 18:47
14171000	03-21-1987		Missing			09-07-2017 18:47
14171000	03-22-1987		Missing			09-07-2017 18:47
14171000	03-23-1987		Missing			09-07-2017 18:47
14171000	03-24-1987		Missing			09-07-2017 18:47
14171000	03-25-1987		Missing			09-07-2017 18:47
14171000	03-26-1987		Missing			09-07-2017 18:47
14171000	03-27-1987		Missing			09-07-2017 18:47
14171000	03-28-1987		Missing			09-07-2017 18:47
14171000	03-29-1987		Missing			09-07-2017 18:47
14171000	03-30-1987		Missing			09-07-2017 18:47
14171000	03-31-1987		Missing			09-07-2017 18:47
14171000	04-01-1987		Missing			09-07-2017 18:47
14171000	04-02-1987		Missing			09-07-2017 18:47
14171000	04-03-1987		Missing			09-07-2017 18:47
14171000	04-04-1987		Missing			09-07-2017 18:47
14171000	04-05-1987		Missing			09-07-2017 18:47
14171000	04-06-1987		Missing			09-07-2017 18:47
14171000	04-07-1987		Missing			09-07-2017 18:47
14171000	04-08-1987		Missing			09-07-2017 18:47
14171000	04-09-1987		Missing			09-07-2017 18:47
14171000	04-10-1987		Missing			09-07-2017 18:47
14171000	04-11-1987		Missing			09-07-2017 18:47
14171000	04-12-1987		Missing			09-07-2017 18:47
14171000	04-13-1987		Missing			09-07-2017 18:47
14171000	04-14-1987		Missing			09-07-2017 18:47
14171000	04-15-1987		Missing			09-07-2017 18:47
14171000	04-16-1987		Missing			09-07-2017 18:47
14171000	04-17-1987		Missing			09-07-2017 18:47
14171000	04-18-1987		Missing			09-07-2017 18:47
14171000	04-19-1987		Missing			09-07-2017 18:47
14171000	04-20-1987		Missing			09-07-2017 18:47
14171000	04-21-1987		Missing			09-07-2017 18:47
14171000	04-22-1987		Missing			09-07-2017 18:47
14171000	04-23-1987		Missing			09-07-2017 18:47
14171000	04-24-1987		Missing			09-07-2017 18:47
14171000	04-25-1987		Missing			09-07-2017 18:47
14171000	04-26-1987		Missing			09-07-2017 18:47
14171000	04-27-1987		Missing			09-07-2017 18:47
14171000	04-28-1987		Missing			09-07-2017 18:47
14171000	04-29-1987		Missing			09-07-2017 18:47
14171000	04-30-1987		Missing			09-07-2017 18:47
14171000	05-01-1987		Missing			09-07-2017 18:47
14171000	05-02-1987		Missing			09-07-2017 18:47
14171000	05-03-1987		Missing			09-07-2017 18:47
14171000	05-04-1987		Missing			09-07-2017 18:47
14171000	05-05-1987		Missing			09-07-2017 18:47
14171000	05-06-1987		Missing			09-07-2017 18:47
14171000	05-07-1987		Missing			09-07-2017 18:47
14171000	05-08-1987		Missing			09-07-2017 18:47
14171000	05-09-1987		Missing			09-07-2017 18:47
14171000	05-10-1987		Missing			09-07-2017 18:47
14171000	05-11-1987		Missing			09-07-2017 18:47
14171000	05-12-1987		Missing			09-07-2017 18:47
14171000	05-13-1987		Missing			09-07-2017 18:47
14171000	05-14-1987		Missing			09-07-2017 18:47
14171000	05-15-1987		Missing			09-07-2017 18:47
14171000	05-16-1987		Missing			09-07-2017 18:47
14171000	05-17-1987		Missing			09-07-2017 18:47
14171000	05-18-1987		Missing			09-07-2017 18:47
14171000	05-19-1987		Missing			09-07-2017 18:47
14171000	05-20-1987		Missing			09-07-2017 18:47
14171000	05-21-1987		Missing			09-07-2017 18:47
14171000	05-22-1987		Missing			09-07-2017 18:47
14171000	05-23-1987		Missing			09-07-2017 18:47
14171000	05-24-1987		Missing			09-07-2017 18:47
14171000	05-25-1987		Missing			09-07-2017 18:47
14171000	05-26-1987		Missing			09-07-2017 18:47
14171000	05-27-1987		Missing			09-07-2017 18:47
14171000	05-28-1987		Missing			09-07-2017 18:47
14171000	05-29-1987		Missing			09-07-2017 18:47
14171000	05-30-1987		Missing			09-07-2017 18:47
14171000	05-31-1987		Missing			09-07-2017 18:47
14171000	06-01-1987		Missing			09-07-2017 18:47
14171000	06-02-1987		Missing			09-07-2017 18:47
14171000	06-03-1987		Missing			09-07-2017 18:47
14171000	06-04-1987		Missing			09-07-2017 18:47
14171000	06-05-1987		Missing			09-07-2017 18:47
14171000	06-06-1987		Missing			09-07-2017 18:47
14171000	06-07-1987		Missing			09-07-2017 18:47
14171000	06-08-1987		Missing			09-07-2017 18:47
14171000	06-09-1987		Missing			09-07-2017 18:47
14171000	06-10-1987		Missing			09-07-2017 18:47
14171000	06-11-1987		Missing			09-07-2017 18:47
14171000	06-12-1987		Missing			09-07-2017 18:47
14171000	06-13-1987		Missing			09-07-2017 18:47
14171000	06-14-1987		Missing			09-07-2017 18:47
14171000	06-15-1987		Missing			09-07-2017 18:47
14171000	06-16-1987		Missing			09-07-2017 18:47
14171000	06-17-1987		Missing			09-07-2017 18:47
14171000	06-18-1987		Missing			09-07-2017 18:47
14171000	06-19-1987		Missing			09-07-2017 18:47
14171000	06-20-1987		Missing			09-07-2017 18:47
14171000	06-21-1987		Missing			09-07-2017 18:47
14171000	06-22-1987		Missing			09-07-2017 18:47
14171000	06-23-1987		Missing			09-07-2017 18:47
14171000	06-24-1987		Missing			09-07-2017 18:47
14171000	06-25-1987		Missing			09-07-2017 18:47
14171000	06-26-1987		Missing			09-07-2017 18:47
14171000	06-27-1987		Missing			09-07-2017 18:47
14171000	06-28-1987		Missing			09-07-2017 18:47
14171000	06-29-1987		Missing			09-07-2017 18:47
14171000	06-30-1987		Missing			09-07-2017 18:47
14171000	07-01-1987		Missing			09-07-2017 18:47
14171000	07-02-1987		Missing			09-07-2017 18:47
14171000	07-03-1987		Missing			09-07-2017 18:47
14171000	07-04-1987		Missing			09-07-2017 18:47
14171000	07-05-1987		Missing			09-07-2017 18:47
14171000	07-06-1987		Missing			09-07-2017 18:47
14171000	07-07-1987		Missing			09-07-2017 18:47
14171000	07-08-1987		Missing			09-07-2017 18:47
14171000	07-09-1987		Missing			09-07-2017 18:47
14171000	07-10-1987		Missing			09-07-2017 18:47
14171000	07-11-1987		Missing			09-07-2017 18:47
14171000	07-12-1987		Missing			09-07-2017 18:47
14171000	07-13-1987		Missing			09-07-2017 18:47
14171000	07-14-1987		Missing			09-07-2017 18:47
14171000	07-15-1987		Missing			09-07-2017 18:47
14171000	07-16-1987		Missing			09-07-2017 18:47
14171000	07-17-1987		Missing			09-07-2017 18:47
14171000	07-18-1987		Missing			09-07-2017 18:47
14171000	07-19-1987		Missing			09-07-2017 18:47
14171000	07-20-1987		Missing			09-07-2017 18:47
14171000	07-21-1987		Missing			09-07-2017 18:47
14171000	07-22-1987		Missing			09-07-2017 18:47
14171000	07-23-1987		Missing			09-07-2017 18:47
14171000	07-24-1987		Missing			09-07-2017 18:47
14171000	07-25-1987		Missing			09-07-2017 18:47
14171000	07-26-1987		Missing			09-07-2017 18:47
14171000	07-27-1987		Missing			09-07-2017 18:47
14171000	07-28-1987		Missing			09-07-2017 18:47
14171000	07-29-1987		Missing			09-07-2017 18:47
14171000	07-30-1987		Missing			09-07-2017 18:47
14171000	07-31-1987		Missing			09-07-2017 18:47
14171000	08-01-1987		Missing			09-07-2017 18:47
14171000	08-02-1987		Missing			09-07-2017 18:47
14171000	08-03-1987		Missing			09-07-2017 18:47
14171000	08-04-1987		Missing			09-07-2017 18:47
14171000	08-05-1987		Missing			09-07-2017 18:47
14171000	08-06-1987		Missing			09-07-2017 18:47
14171000	08-07-1987		Missing			09-07-2017 18:47
14171000	08-08-1987		Missing			09-07-2017 18:47
14171000	08-09-1987		Missing			09-07-2017 18:47
14171000	08-10-1987		Missing			09-07-2017 18:47
14171000	08-11-1987		Missing			09-07-2017 18:47
14171000	08-12-1987		Missing			09-07-2017 18:47
14171000	08-13-1987		Missing			09-07-2017 18:47
14171000	08-14-1987		Missing			09-07-2017 18:47
14171000	08-15-1987		Missing			09-07-2017 18:47
14171000	08-16-1987		Missing			09-07-2017 18:47
14171000	08-17-1987		Missing			09-07-2017 18:47
14171000	08-18-1987		Missing			09-07-2017 18:47
14171000	08-19-1987		Missing			09-07-2017 18:47
14171000	08-20-1987		Missing			09-07-2017 18:47
14171000	08-21-1987		Missing			09-07-2017 18:47
14171000	08-22-1987		Missing			09-07-2017 18:47
14171000	08-23-1987		Missing			09-07-2017 18:47
14171000	08-24-1987		Missing			09-07-2017 18:47
14171000	08-25-1987		Missing			09-07-2017 18:47
14171000	08-26-1987		Missing			09-07-2017 18:47
14171000	08-27-1987		Missing			09-07-2017 18:47
14171000	08-28-1987		Missing			09-07-2017 18:47
14171000	08-29-1987		Missing			09-07-2017 18:47
14171000	08-30-1987		Missing			09-07-2017 18:47
14171000	08-31-1987		Missing			09-07-2017 18:47
14171000	09-01-1987		Missing			09-07-2017 18:47
14171000	09-02-1987		Missing			09-07-2017 18:47
14171000	09-03-1987		Missing			09-07-2017 18:47
14171000	09-04-1987		Missing			09-07-2017 18:47
14171000	09-05-1987		Missing			09-07-2017 18:47
14171000	09-06-1987		Missing			09-07-2017 18:47
14171000	09-07-1987		Missing			09-07-2017 18:47
14171000	09-08-1987		Missing			09-07-2017 18:47
14171000	09-09-1987		Missing			09-07-2017 18:47
14171000	09-10-1987		Missing			09-07-2017 18:47
14171000	09-11-1987		Missing			09-07-2017 18:47
14171000	09-12-1987		Missing			09-07-2017 18:47
14171000	09-13-1987		Missing			09-07-2017 18:47
14171000	09-14-1987		Missing			09-07-2017 18:47
14171000	09-15-1987		Missing			09-07-2017 18:47
14171000	09-16-1987		Missing			09-07-2017 18:47
14171000	09-17-1987		Missing			09-07-2017 18:47
14171000	09-18-1987		Missing			09-07-2017 18:47
14171000	09-19-1987		Missing			09-07-2017 18:47
14171000	09-20-1987		Missing			09-07-2017 18:47
14171000	09-21-1987		Missing			09-07-2017 18:47
14171000	09-22-1987		Missing			09-07-2017 18:47
14171000	09-23-1987		Missing			09-07-2017 18:47
14171000	09-24-1987		Missing			09-07-2017 18:47
14171000	09-25-1987		Missing			09-07-2017 18:47
14171000	09-26-1987		Missing			09-07-2017 18:47
14171000	09-27-1987		Missing			09-07-2017 18:47
14171000	09-28-1987		Missing			09-07-2017 18:47
14171000	09-29-1987		Missing			09-07-2017 18:47
14171000	09-30-1987		Missing			09-07-2017 18:47
14171000	10-01-1987		Missing			09-07-2017 18:47
14171000	10-02-1987		Missing			09-07-2017 18:47
14171000	10-03-1987		Missing			09-07-2017 18:47
14171000	10-04-1987		Missing			09-07-2017 18:47
14171000	10-05-1987		Missing			09-07-2017 18:47
14171000	10-06-1987		Missing			09-07-2017 18:47
14171000	10-07-1987		Missing			09-07-2017 18:47
14171000	10-08-1987		Missing			09-07-2017 18:47
14171000	10-09-1987		Missing			09-07-2017 18:47
14171000	10-10-1987		Missing			09-07-2017 18:47
14171000	10-11-1987		Missing			09-07-2017 18:47
14171000	10-12-1987		Missing			09-07-2017 18:47
14171000	10-13-1987		Missing			09-07-2017 18:47
14171000	10-14-1987		Missing			09-07-2017 18:47
14171000	10-15-1987		Missing			09-07-2017 18:47
14171000	10-16-1987		Missing			09-07-2017 18:47
14171000	10-17-1987		Missing			09-07-2017 18:47
14171000	10-18-1987		Missing			09-07-2017 18:47
14171000	10-19-1987		Missing			09-07-2017 18:47
14171000	10-20-1987		Missing			09-07-2017 18:47
14171000	10-21-1987		Missing			09-07-2017 18:47
14171000	10-22-1987		Missing			09-07-2017 18:47
14171000	10-23-1987		Missing			09-07-2017 18:47
14171000	10-24-1987		Missing			09-07-2017 18:47
14171000	10-25-1987		Missing			09-07-2017 18:47
14171000	10-26-1987		Missing			09-07-2017 18:47
14171000	10-27-1987		Missing			09-07-2017 18:47
14171000	10-28-1987		Missing			09-07-2017 18:47
14171000	10-29-1987		Missing			09-07-2017 18:47
14171000	10-30-1987		Missing			09-07-2017 18:47
14171000	10-31-1987		Missing			09-07-2017 18:47
14171000	11-01-1987		Missing			09-07-2017 18:47
14171000	11-02-1987		Missing			09-07-2017 18:47
14171000	11-03-1987		Missing			09-07-2017 18:47
14171000	11-04-1987		Missing			09-07-2017 18:47
14171000	11-05-1987		Missing			09-07-2017 18:47
14171000	11-06-1987		Missing			09-07-2017 18:47
14171000	11-07-1987		Missing			09-07-2017 18:47
14171000	11-08-1987		Missing			09-07-2017 18:47
14171000	11-09-1987		Missing			09-07-2017 18:47
14171000	11-10-1987		Missing			09-07-2017 18:47
14171000	11-11-1987		Missing			09-07-2017 18:47
14171000	11-12-1987		Missing			09-07-2017 18:47
14171000	11-13-1987		Missing			09-07-2017 18:47
14171000	11-14-1987		Missing			09-07-2017 18:47
14171000	11-15-1987		Missing			09-07-2017 18:47
14171000	11-16-1987		Missing			09-07-2017 18:47
14171000	11-17-1987		Missing			09-07-2017 18:47
14171000	11-18-1987		Missing			09-07-2017 18:47
14171000	11-19-1987		Missing			09-07-2017 18:47
14171000	11-20-1987		Missing			09-07-2017 18:47
14171000	11-21-1987		Missing			09-07-2017 18:47
14171000	11-22-1987		Missing			09-07-2017 18:47
14171000	11-23-1987		Missing			09-07-2017 18:47
14171000	11-24-1987		Missing			09-07-2017 18:47
14171000	11-25-1987		Missing			09-07-2017 18:47
14171000	11-26-1987		Missing			09-07-2017 18:47
14171000	11-27-1987		Missing			09-07-2017 18:47
14171000	11-28-1987		Missing			09-07-2017 18:47
14171000	11-29-1987		Missing			09-07-2017 18:47
14171000	11-30-1987		Missing			09-07-2017 18:47
14171000	12-01-1987		Missing			09-07-2017 18:47
14171000	12-02-1987		Missing			09-07-2017 18:47
14171000	12-03-1987		Missing			09-07-2017 18:47
14171000	12-04-1987		Missing			09-07-2017 18:47
14171000	12-05-1987		Missing			09-07-2017 18:47
14171000	12-06-1987		Missing			09-07-2017 18:47
14171000	12-07-1987		Missing			09-07-2017 18:47
14171000	12-08-1987		Missing			09-07-2017 18:47
14171000	12-09-1987		Missing			09-07-2017 18:47
14171000	12-10-1987		Missing			09-07-2017 18:47
14171000	12-11-1987		Missing			09-07-2017 18:47
14171000	12-12-1987		Missing			09-07-2017 18:47
14171000	12-13-1987		Missing			09-07-2017 18:47
14171000	12-14-1987		Missing			09-07-2017 18:47
14171000	12-15-1987		Missing			09-07-2017 18:47
14171000	12-16-1987		Missing			09-07-2017 18:47
14171000	12-17-1987		Missing			09-07-2017 18:47
14171000	12-18-1987		Missing			09-07-2017 18:47
14171000	12-19-1987		Missing			09-07-2017 18:47
14171000	12-20-1987		Missing			09-07-2017 18:47
14171000	12-21-1987		Missing			09-07-2017 18:47
14171000	12-22-1987		Missing			09-07-2017 18:47
14171000	12-23-1987		Missing			09-07-2017 18:47
14171000	12-24-1987		Missing			09-07-2017 18:47
14171000	12-25-1987		Missing			09-07-2017 18:47
14171000	12-26-1987		Missing			09-07-2017 18:47
14171000	12-27-1987		Missing			09-07-2017 18:47
14171000	12-28-1987		Missing			09-07-2017 18:47
14171000	12-29-1987		Missing			09-07-2017 18:47
14171000	12-30-1987		Missing			09-07-2017 18:47
14171000	12-31-1987		Missing			09-07-2017 18:47
14171000	01-01-1988		Missing			09-07-2017 18:47
14171000	01-02-1988		Missing			09-07-2017 18:47
14171000	01-03-1988		Missing			09-07-2017 18:47
14171000	01-04-1988		Missing			09-07-2017 18:47
14171000	01-05-1988		Missing			09-07-2017 18:47
14171000	01-06-1988		Missing			09-07-2017 18:47
14171000	01-07-1988		Missing			09-07-2017 18:47
14171000	01-08-1988		Missing			09-07-2017 18:47
14171000	01-09-1988		Missing			09-07-2017 18:47
14171000	01-10-1988		Missing			09-07-2017 18:47
14171000	01-11-1988		Missing			09-07-2017 18:47
14171000	01-12-1988		Missing			09-07-2017 18:47
14171000	01-13-1988		Missing			09-07-2017 18:47
14171000	01-14-1988		Missing			09-07-2017 18:47
14171000	01-15-1988		Missing			09-07-2017 18:47
14171000	01-16-1988		Missing			09-07-2017 18:47
14171000	01-17-1988		Missing			09-07-2017 18:47
14171000	01-18-1988		Missing			09-07-2017 18:47
14171000	01-19-1988		Missing			09-07-2017 18:47
14171000	01-20-1988		Missing			09-07-2017 18:47
14171000	01-21-1988		Missing			09-07-2017 18:47
14171000	01-22-1988		Missing			09-07-2017 18:47
14171000	01-23-1988		Missing			09-07-2017 18:47
14171000	01-24-1988		Missing			09-07-2017 18:47
14171000	01-25-1988		Missing			09-07-2017 18:47
14171000	01-26-1988		Missing			09-07-2017 18:47
14171000	01-27-1988		Missing			09-07-2017 18:47
14171000	01-28-1988		Missing			09-07-2017 18:47
14171000	01-29-1988		Missing			09-07-2017 18:47
14171000	01-30-1988		Missing			09-07-2017 18:47
14171000	01-31-1988		Missing			09-07-2017 18:47
14171000	02-01-1988		Missing			09-07-2017 18:47
14171000	02-02-1988		Missing			09-07-2017 18:47
14171000	02-03-1988		Missing			09-07-2017 18:47
14171000	02-04-1988		Missing			09-07-2017 18:47
14171000	02-05-1988		Missing			09-07-2017 18:47
14171000	02-06-1988		Missing			09-07-2017 18:47
14171000	02-07-1988		Missing			09-07-2017 18:47
14171000	02-08-1988		Missing			09-07-2017 18:47
14171000	02-09-1988		Missing			09-07-2017 18:47
14171000	02-10-1988		Missing			09-07-2017 18:47
14171000	02-11-1988		Missing			09-07-2017 18:47
14171000	02-12-1988		Missing			09-07-2017 18:47
14171000	02-13-1988		Missing			09-07-2017 18:47
14171000	02-14-1988		Missing			09-07-2017 18:47
14171000	02-15-1988		Missing			09-07-2017 18:47
14171000	02-16-1988		Missing			09-07-2017 18:47
14171000	02-17-1988		Missing			09-07-2017 18:47
14171000	02-18-1988		Missing			09-07-2017 18:47
14171000	02-19-1988		Missing			09-07-2017 18:47
14171000	02-20-1988		Missing			09-07-2017 18:47
14171000	02-21-1988		Missing			09-07-2017 18:47
14171000	02-22-1988		Missing			09-07-2017 18:47
14171000	02-23-1988		Missing			09-07-2017 18:47
14171000	02-24-1988		Missing			09-07-2017 18:47
14171000	02-25-1988		Missing			09-07-2017 18:47
14171000	02-26-1988		Missing			09-07-2017 18:47
14171000	02-27-1988		Missing			09-07-2017 18:47
14171000	02-28-1988		Missing			09-07-2017 18:47
14171000	02-29-1988		Missing			09-07-2017 18:47
14171000	03-01-1988		Missing			09-07-2017 18:47
14171000	03-02-1988		Missing			09-07-2017 18:47
14171000	03-03-1988		Missing			09-07-2017 18:47
14171000	03-04-1988		Missing			09-07-2017 18:47
14171000	03-05-1988		Missing			09-07-2017 18:47
14171000	03-06-1988		Missing			09-07-2017 18:47
14171000	03-07-1988		Missing			09-07-2017 18:47
14171000	03-08-1988		Missing			09-07-2017 18:47
14171000	03-09-1988		Missing			09-07-2017 18:47
14171000	03-10-1988		Missing			09-07-2017 18:47
14171000	03-11-1988		Missing			09-07-2017 18:47
14171000	03-12-1988		Missing			09-07-2017 18:47
14171000	03-13-1988		Missing			09-07-2017 18:47
14171000	03-14-1988		Missing			09-07-2017 18:47
14171000	03-15-1988		Missing			09-07-2017 18:47
14171000	03-16-1988		Missing			09-07-2017 18:47
14171000	03-17-1988		Missing			09-07-2017 18:47
14171000	03-18-1988		Missing			09-07-2017 18:47
14171000	03-19-1988		Missing			09-07-2017 18:47
14171000	03-20-1988		Missing			09-07-2017 18:47
14171000	03-21-1988		Missing			09-07-2017 18:47
14171000	03-22-1988		Missing			09-07-2017 18:47
14171000	03-23-1988		Missing			09-07-2017 18:47
14171000	03-24-1988		Missing			09-07-2017 18:47
14171000	03-25-1988		Missing			09-07-2017 18:47
14171000	03-26-1988		Missing			09-07-2017 18:47
14171000	03-27-1988		Missing			09-07-2017 18:47
14171000	03-28-1988		Missing			09-07-2017 18:47
14171000	03-29-1988		Missing			09-07-2017 18:47
14171000	03-30-1988		Missing			09-07-2017 18:47
14171000	03-31-1988		Missing			09-07-2017 18:47
14171000	04-01-1988		Missing			09-07-2017 18:47
14171000	04-02-1988		Missing			09-07-2017 18:47
14171000	04-03-1988		Missing			09-07-2017 18:47
14171000	04-04-1988		Missing			09-07-2017 18:47
14171000	04-05-1988		Missing			09-07-2017 18:47
14171000	04-06-1988		Missing			09-07-2017 18:47
14171000	04-07-1988		Missing			09-07-2017 18:47
14171000	04-08-1988		Missing			09-07-2017 18:47
14171000	04-09-1988		Missing			09-07-2017 18:47
14171000	04-10-1988		Missing			09-07-2017 18:47
14171000	04-11-1988		Missing			09-07-2017 18:47
14171000	04-12-1988		Missing			09-07-2017 18:47
14171000	04-13-1988		Missing			09-07-2017 18:47
14171000	04-14-1988		Missing			09-07-2017 18:47
14171000	04-15-1988		Missing			09-07-2017 18:47
14171000	04-16-1988		Missing			09-07-2017 18:47
14171000	04-17-1988		Missing			09-07-2017 18:47
14171000	04-18-1988		Missing			09-07-2017 18:47
14171000	04-19-1988		Missing			09-07-2017 18:47
14171000	04-20-1988		Missing			09-07-2017 18:47
14171000	04-21-1988		Missing			09-07-2017 18:47
14171000	04-22-1988		Missing			09-07-2017 18:47
14171000	04-23-1988		Missing			09-07-2017 18:47
14171000	04-24-1988		Missing			09-07-2017 18:47
14171000	04-25-1988		Missing			09-07-2017 18:47
14171000	04-26-1988		Missing			09-07-2017 18:47
14171000	04-27-1988		Missing			09-07-2017 18:47
14171000	04-28-1988		Missing			09-07-2017 18:47
14171000	04-29-1988		Missing			09-07-2017 18:47
